9,BOM500020,BOMBAY DYEING & MFG.CO.LTD. EOD Prices,0.4061638687045853,0.5938361312954147,3991,293369.0,0.41788181120491175,0.5821181887950883,2606,345067.0,0.44881889763779526,0.5511811023622047,1651,420655.0,0.4875478927203065,0.5124521072796935,1044,507757.0,0.5171898355754858,0.4828101644245142,669,607835.0,0.5409836065573771,0.45901639344262296,427,746130.0,0.5547703180212014,0.4452296819787986,283,903331.0,0.5692307692307692,0.4307692307692308,195,1054187.0,0.5972222222222222,0.4027777777777778,144,1263692.0,0.6470588235294118,0.35294117647058826,102,1377344.0,
18,BOM500033,FORCE MOTORS LTD.-$ EOD Prices,0.4272755708476697,0.5727244291523303,3197,35100.0,0.436558094312105,0.563441905687895,2057,40016.0,0.4642582628747118,0.5357417371252883,1301,45456.0,0.4936708860759494,0.5063291139240507,869,54673.0,0.5017921146953405,0.4982078853046595,558,61022.0,0.5347043701799485,0.4652956298200514,389,70545.0,0.5633802816901409,0.43661971830985913,284,80462.0,0.5808080808080808,0.41919191919191917,198,95002.0,0.6081081081081081,0.3918918918918919,148,113691.0,0.6226415094339622,0.37735849056603776,106,91962.0,
27,BOM500048,BEML LTD. EOD Prices,0.405005382131324,0.594994617868676,3716,92393.0,0.4193960017014037,0.5806039982985963,2351,111896.0,0.4343090537780803,0.5656909462219196,1469,137292.0,0.4794520547945205,0.5205479452054794,949,165711.0,0.5079617834394905,0.49203821656050956,628,195703.0,0.5454545454545454,0.45454545454545453,429,229356.0,0.5929824561403508,0.4070175438596491,285,251861.0,0.625,0.375,192,303430.0,0.6744186046511628,0.32558139534883723,129,348638.0,0.6597938144329897,0.3402061855670103,97,373414.0,
36,BOM500067,BLUE STAR LTD. EOD Prices,0.4621212121212121,0.5378787878787878,3432,17937.0,0.4625126646403242,0.5374873353596757,1974,21404.0,0.48375768217734855,0.5162423178226514,1139,24752.0,0.47674418604651164,0.5232558139534884,688,23695.0,0.4801762114537445,0.5198237885462555,454,27126.0,0.5156794425087108,0.4843205574912892,287,28808.0,0.5294117647058824,0.47058823529411764,204,32558.0,0.5390070921985816,0.46099290780141844,141,33328.0,0.5268817204301075,0.4731182795698925,93,31615.0,0.5571428571428572,0.44285714285714284,70,34865.0,
45,BOM500086,EXIDE INDUSTRIES LTD. EOD Prices,0.4319526627218935,0.5680473372781065,3549,171274.0,0.4508032128514056,0.5491967871485943,1992,193779.0,0.4778681120144535,0.5221318879855466,1107,239028.0,0.4897959183673469,0.5102040816326531,637,271941.0,0.52,0.48,375,301430.0,0.5051546391752577,0.4948453608247423,194,289919.0,0.5130434782608696,0.48695652173913045,115,369581.0,0.5588235294117647,0.4411764705882353,68,438447.0,0.6052631578947368,0.39473684210526316,38,668038.0,0.6363636363636364,0.36363636363636365,22,740196.0,
54,BOM500102,BALLARPUR INDUSTRIES LTD. EOD Prices,0.32965299684542587,0.6703470031545742,634,603720.0,0.3125,0.6875,416,725207.0,0.33064516129032256,0.6693548387096774,248,894328.0,0.3973509933774834,0.6026490066225165,151,1099643.0,0.43333333333333335,0.5666666666666667,90,1346970.0,0.49122807017543857,0.5087719298245614,57,1004639.0,0.47619047619047616,0.5238095238095238,42,981637.0,0.5,0.5,26,1102956.0,0.6428571428571429,0.35714285714285715,14,1249498.0,0.7777777777777778,0.2222222222222222,9,1777708.0,
63,BOM500113,STEEL AUTHORITY OF INDIA LTD. EOD Prices,0.3990813983158969,0.600918601684103,3919,2307853.0,0.3944124897288414,0.6055875102711585,2434,2797796.0,0.4005305039787798,0.5994694960212201,1508,3337800.0,0.42401700318809776,0.5759829968119022,941,3872225.0,0.4463667820069204,0.5536332179930796,578,4547874.0,0.46419098143236076,0.5358090185676393,377,5222558.0,0.5215686274509804,0.47843137254901963,255,5967259.0,0.5409836065573771,0.45901639344262296,183,6228418.0,0.5511811023622047,0.44881889763779526,127,7178574.0,0.5978260869565217,0.40217391304347827,92,7693596.0,
90,BOM500155,GARDEN SILK MILLS LTD. EOD Prices,0.41964965727341963,0.5803503427265804,3939,32133.0,0.42444950645406226,0.5755504935459378,2634,36275.0,0.4438040345821326,0.5561959654178674,1735,42424.0,0.47116237799467614,0.5288376220053239,1127,49766.0,0.4979811574697174,0.5020188425302826,743,62367.0,0.5437616387337058,0.45623836126629425,537,69931.0,0.5625,0.4375,384,78076.0,0.6153846153846154,0.38461538461538464,286,78886.0,0.6203703703703703,0.37962962962962965,216,87565.0,0.5975609756097561,0.4024390243902439,164,84019.0,
99,BOM500170,GTN INDUSTRIES LTD. EOD Prices,0.5388817480719794,0.4611182519280206,3112,6300.0,0.5405179615705932,0.4594820384294068,2394,6747.0,0.5585284280936454,0.4414715719063545,1794,7092.0,0.5864381520119225,0.4135618479880775,1342,7155.0,0.599603567888999,0.400396432111001,1009,7863.0,0.6082758620689656,0.3917241379310345,725,8267.0,0.6214788732394366,0.3785211267605634,568,8760.0,0.6318289786223278,0.3681710213776722,421,9166.0,0.6579804560260586,0.34201954397394135,307,10903.0,0.6883720930232559,0.3116279069767442,215,12858.0,
108,BOM500185,HINDUSTAN CONSTRUCTION CO.LTD. EOD Prices,0.41571319603356216,0.5842868039664378,3933,705234.0,0.4202205882352941,0.5797794117647059,2720,785566.0,0.43997734994337484,0.5600226500566251,1766,873854.0,0.46649260226283723,0.5335073977371627,1149,1005709.0,0.4851228978007762,0.5148771021992238,773,1122019.0,0.497131931166348,0.502868068833652,523,1238700.0,0.5210084033613446,0.4789915966386555,357,1414927.0,0.5476190476190477,0.4523809523809524,252,1677380.0,0.5631578947368421,0.4368421052631579,190,1839608.0,0.5447761194029851,0.4552238805970149,134,2002872.0,
