2,BOM500003,AEGIS LOGISTICS LTD. EOD Prices,0.4599000788850907,0.5400999211149092,3803,0.47186311787072244,0.5281368821292776,2630,0.5099037917374081,0.490096208262592,1767,0.543046357615894,0.45695364238410596,1208,0.5738705738705738,0.4261294261294261,819,0.6144781144781145,0.38552188552188554,594,0.6572104018912529,0.34278959810874704,423,0.6984126984126984,0.30158730158730157,315,0.7137096774193549,0.2862903225806452,248,0.7127659574468085,0.2872340425531915,188,
11,BOM500024,Assam Company (India) Limited EOD Prices,0.35927152317880795,0.640728476821192,3624,0.3542213883677298,0.6457786116322701,2665,0.3698193411264612,0.6301806588735388,1882,0.38940092165898615,0.6105990783410138,1302,0.4095449500554939,0.5904550499445061,901,0.4672,0.5328,625,0.5058548009367682,0.49414519906323184,427,0.5265017667844523,0.4734982332155477,283,0.5714285714285714,0.42857142857142855,196,0.6231884057971014,0.37681159420289856,138,
20,BOM500038,BALRAMPUR CHINI MILLS LTD. EOD Prices,0.4199623352165725,0.5800376647834274,3717,0.4259102455546147,0.5740897544453852,2362,0.44060773480662985,0.5593922651933702,1448,0.46373626373626375,0.5362637362637362,910,0.5032894736842105,0.4967105263157895,608,0.5294117647058824,0.47058823529411764,357,0.547085201793722,0.452914798206278,223,0.5918367346938775,0.40816326530612246,147,0.6421052631578947,0.35789473684210527,95,0.647887323943662,0.352112676056338,71,
29,BOM500051,Bhagawati Gas Limited EOD Prices,0.5287976961843053,0.4712023038156947,2778,0.5348141819735156,0.4651858180264844,2341,0.5416877210712481,0.45831227892875187,1979,0.5548926014319809,0.4451073985680191,1676,0.5751633986928104,0.42483660130718953,1377,0.5895008605851979,0.41049913941480204,1162,0.6109979633401222,0.3890020366598778,982,0.6311881188118812,0.3688118811881188,808,0.6500754147812972,0.34992458521870284,663,0.664804469273743,0.33519553072625696,537,
38,BOM500069,BNK CAPITAL MARKETS LTD. EOD Prices,0.49307726663689144,0.5069227333631086,2239,0.48754842280022137,0.5124515771997786,1807,0.4973190348525469,0.5026809651474531,1492,0.5141930251419302,0.48580697485806973,1233,0.5271398747390397,0.47286012526096033,958,0.5374507227332457,0.46254927726675427,761,0.5388349514563107,0.46116504854368934,618,0.5535714285714286,0.44642857142857145,504,0.556390977443609,0.44360902255639095,399,0.5760517799352751,0.42394822006472493,309,
47,BOM500089,DIC INDIA LTD. EOD Prices,0.43414956982131037,0.5658504301786896,3022,0.4524070021881838,0.5475929978118161,1828,0.48011363636363635,0.5198863636363636,1056,0.48923076923076925,0.5107692307692308,650,0.524390243902439,0.47560975609756095,410,0.5518518518518518,0.44814814814814813,270,0.5251396648044693,0.4748603351955307,179,0.49572649572649574,0.5042735042735043,117,0.5172413793103449,0.4827586206896552,87,0.5344827586206896,0.46551724137931033,58,
56,BOM500104,HINDUSTAN PETROLEUM CORPORATION LTD. EOD Prices,0.42403819151923616,0.5759618084807638,3561,0.43986254295532645,0.5601374570446735,2037,0.4544626593806922,0.5455373406193078,1098,0.43278688524590164,0.5672131147540984,610,0.4460227272727273,0.5539772727272727,352,0.4696132596685083,0.5303867403314917,181,0.5196078431372549,0.4803921568627451,102,0.5166666666666667,0.48333333333333334,60,0.5428571428571428,0.45714285714285713,35,0.56,0.44,25,
65,BOM500116,IDBI BANK LTD. EOD Prices,0.3955044153063955,0.6044955846936045,3737,0.38901003052769295,0.610989969472307,2293,0.3860430586488493,0.6139569413511508,1347,0.4019975031210986,0.5980024968789014,801,0.4161490683229814,0.5838509316770186,483,0.43564356435643564,0.5643564356435643,303,0.45989304812834225,0.5401069518716578,187,0.5086206896551724,0.49137931034482757,116,0.5454545454545454,0.45454545454545453,77,0.6521739130434783,0.34782608695652173,46,
74,BOM500132,EMPEE SUGARS & CHEMICALS LTD. EOD Prices,0.45778795811518325,0.5422120418848168,3056,0.4594168636721828,0.5405831363278172,2538,0.4710180224062348,0.5289819775937652,2053,0.4757919904363419,0.5242080095636581,1673,0.49538461538461537,0.5046153846153846,1300,0.5023696682464455,0.4976303317535545,1055,0.5236406619385343,0.47635933806146574,846,0.5505952380952381,0.4494047619047619,672,0.5743119266055046,0.42568807339449544,545,0.6086956521739131,0.391304347826087,437,
83,BOM500144,FINOLEX CABLES LTD. EOD Prices,0.3902577173605211,0.6097422826394789,3531,0.40540540540540543,0.5945945945945946,1998,0.42314487632508835,0.5768551236749117,1132,0.45739910313901344,0.5426008968609866,669,0.48507462686567165,0.5149253731343284,402,0.5145228215767634,0.4854771784232365,241,0.5157232704402516,0.48427672955974843,159,0.5,0.5,94,0.421875,0.578125,64,0.391304347826087,0.6086956521739131,46,
92,BOM500160,GTL LTD. EOD Prices,0.3599242833964305,0.6400757166035695,3698,0.3600661430343117,0.6399338569656883,2419,0.381398252184769,0.6186017478152309,1602,0.4144310823311748,0.5855689176688251,1081,0.449868073878628,0.5501319261213721,758,0.46771037181996084,0.5322896281800391,511,0.4838709677419355,0.5161290322580645,372,0.5072992700729927,0.4927007299270073,274,0.5288461538461539,0.47115384615384615,208,0.5240963855421686,0.4759036144578313,166,
101,BOM500173,GUJARAT FLUOROCHEMICALS LTD. EOD Prices,0.43629774184555337,0.5637022581544466,3587,0.4593735814798003,0.5406264185201998,2203,0.492862509391435,0.507137490608565,1331,0.5204819277108433,0.4795180722891566,830,0.5463320463320464,0.45366795366795365,518,0.5596590909090909,0.4403409090909091,352,0.5540540540540541,0.44594594594594594,222,0.5373134328358209,0.4626865671641791,134,0.5425531914893617,0.4574468085106383,94,0.6111111111111112,0.3888888888888889,54,
